Año,Trimestre,Provincia,Mbps (Media de bajada)
2018,4,Formosa,9820.0
2018,4,Jujuy,8560.0
2018,4,La Pampa,4320.0
2018,4,La Rioja,7090.0
2018,4,Mendoza,5750.0
2018,4,Misiones,125.0
2018,4,Neuquén,1589.0
2018,4,Río Negro,1049.0
2018,4,Salta,1046.0
2018,4,San Juan,5720.0
2018,4,San Luis,8820.0
2018,4,Santa Cruz,5120.0
2018,4,Santa Fe,1318.0
2018,4,Santiago Del Estero,6310.0
2018,4,Tierra Del Fuego,7440.0
2018,4,Tucumán,1658.0
2018,3,Buenos Aires,1678.0
2018,3,Capital Federal,2164.0
2018,3,Catamarca,7810.0
2018,3,Chaco,1289.0
2018,3,Chubut,6080.0
2018,3,Córdoba,1482.0
2018,3,Corrientes,1149.0
2018,3,Entre Ríos,1052.0
2018,3,Formosa,9320.0
2018,3,Jujuy,7670.0
2018,3,La Pampa,4280.0
2018,3,La Rioja,6160.0
2018,3,Mendoza,5790.0
2018,3,Misiones,1249.0
2018,3,Neuquén,1467.0
2018,3,Río Negro,1006.0
2018,3,Salta,9270.0
2018,3,San Juan,5740.0
2018,3,San Luis,8810.0
2018,3,Santa Cruz,5370.0
2018,3,Santa Fe,1236.0
2018,3,Santiago Del Estero,5780.0
2018,3,Tierra Del Fuego,5990.0
2018,3,Tucumán,1526.0
2018,2,Buenos Aires,1468.0
2018,2,Capital Federal,1894.0
2018,2,Catamarca,7690.0
2018,2,Chaco,125.0
2018,2,Chubut,5330.0
2018,2,Córdoba,1388.0
2018,2,Corrientes,1088.0
2018,2,Entre Ríos,1019.0
2018,2,Formosa,8970.0
2018,2,Jujuy,6290.0
2018,2,La Pampa,4100.0
2018,2,La Rioja,5590.0
2018,2,Mendoza,5880.0
2018,2,Misiones,1176.0
2018,2,Neuquén,1337.0
2018,2,Río Negro,9510.0
2018,2,Salta,8930.0
2018,2,San Juan,5850.0
2018,2,San Luis,5900.0
2018,2,Santa Cruz,5190.0
2018,2,Santa Fe,1175.0
2018,2,Santiago Del Estero,5910.0
2018,2,Tierra Del Fuego,5940.0
2018,2,Tucumán,1351.0
2018,1,Buenos Aires,142.0
2018,1,Capital Federal,1775.0
2018,1,Catamarca,8200.0
2018,1,Chaco,1244.0
2018,1,Chubut,5420.0
2018,1,Córdoba,1279.0
2018,1,Corrientes,1112.0
2018,1,Entre Ríos,9880.0
2018,1,Formosa,1106.0
2018,1,Jujuy,6740.0
2018,1,La Pampa,4000.0
2018,1,La Rioja,5890.0
2018,1,Mendoza,5880.0
2018,1,Misiones,1208.0
2018,1,Neuquén,1196.0
2018,1,Río Negro,8980.0
2018,1,Salta,9190.0
2018,1,San Juan,5850.0
2018,1,San Luis,5890.0
2018,1,Santa Cruz,5190.0
2018,1,Santa Fe,1117.0
2018,1,Santiago Del Estero,6250.0
2018,1,Tierra Del Fuego,5770.0
2018,1,Tucumán,9360.0
2017,4,Buenos Aires,1297.0
2017,4,Capital Federal,152.0
2017,4,Catamarca,7780.0
2017,4,Chaco,117.0
2017,4,Chubut,5410.0
2017,4,Córdoba,1164.0
2017,4,Corrientes,1038.0
2017,4,Entre Ríos,9300.0
2017,4,Formosa,1011.0
2017,4,Jujuy,6640.0
2017,4,La Pampa,3980.0
2017,4,La Rioja,5880.0
2017,4,Mendoza,5710.0
2017,4,Misiones,1132.0
2017,4,Neuquén,1072.0
2017,4,Río Negro,8050.0
2017,4,Salta,8450.0
2017,4,San Juan,5830.0
2017,4,San Luis,5730.0
2017,4,Santa Cruz,5210.0
2017,4,Santa Fe,103.0
2017,4,Santiago Del Estero,6170.0
2017,4,Tierra Del Fuego,5200.0
2017,4,Tucumán,9110.0
2017,3,Buenos Aires,8430.0
2017,3,Capital Federal,1064.0
2017,3,Catamarca,5260.0
2017,3,Chaco,8480.0
2017,3,Chubut,3480.0
2017,3,Córdoba,9120.0
2017,3,Corrientes,7450.0
2017,3,Entre Ríos,6990.0
2017,3,Formosa,7070.0
2017,3,Jujuy,4690.0
2017,3,La Pampa,3440.0
2017,3,La Rioja,5010.0
2017,3,Mendoza,3510.0
2017,3,Misiones,8430.0
2017,3,Neuquén,8170.0
2017,3,Río Negro,5490.0
2017,3,Salta,6130.0
