Año,Trimestre,Provincia,Otros,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 20 Mbps y 30 Mbps,Entre 30 Mbps y 50 Mbps,Entre 50 Mbps y 100 Mbps,Entre 100 Mbps y 200 Mbps,Entre 200 Mbps y 500 Mbps,Más de 500 Mbps
2021.0,3.0,Tucumán,164.0,32.0,2356.0,42.0,37145.0,5300.0,71123.0,41178.0,1.0,2844.0,8.0
2021.0,2.0,Buenos Aires,9108.0,37192.0,56465.0,23626.0,1047136.0,237961.0,1276273.0,920937.0,14132.0,116822.0,8376.0
2021.0,2.0,Capital Federal,66.0,294.0,5134.0,338.0,152689.0,87933.0,546904.0,391954.0,14136.0,77974.0,5506.0
2021.0,2.0,Catamarca,2206.0,71.0,503.0,278.0,6438.0,4941.0,16191.0,8465.0,42.0,688.0,2.0
2021.0,2.0,Chaco,7958.0,301.0,1362.0,1008.0,21186.0,16080.0,31423.0,13493.0,0.0,2294.0,18.0
2021.0,2.0,Chubut,5172.0,104.0,929.0,4916.0,83899.0,3896.0,1002.0,109.0,1.0,0.0,0.0
2021.0,2.0,Córdoba,9925.0,99.0,15691.0,13676.0,174856.0,70957.0,308510.0,118319.0,79.0,15278.0,38.0
2021.0,2.0,Corrientes,5053.0,67.0,4329.0,1721.0,24014.0,10073.0,20318.0,10450.0,0.0,1914.0,1.0
2021.0,2.0,Entre Ríos,16077.0,107.0,6075.0,6387.0,54080.0,18502.0,41139.0,17992.0,1.0,2446.0,9.0
2021.0,2.0,Formosa,1618.0,381.0,570.0,1250.0,20544.0,1345.0,6852.0,3758.0,0.0,463.0,0.0
2021.0,2.0,Jujuy,2401.0,48.0,1722.0,3288.0,19347.0,607.0,24299.0,5164.0,1.0,278.0,208.0
2021.0,2.0,La Pampa,4062.0,298.0,2490.0,4306.0,57904.0,3399.0,8547.0,759.0,0.0,5.0,0.0
2021.0,2.0,La Rioja,19.0,18.0,691.0,303.0,4319.0,4827.0,34132.0,7662.0,138.0,224.0,0.0
2021.0,2.0,Mendoza,50.0,36.0,1729.0,4158.0,131606.0,4416.0,15726.0,4387.0,13.0,522.0,25.0
2021.0,2.0,Misiones,8279.0,51.0,4411.0,11898.0,25339.0,16191.0,25962.0,10734.0,1.0,1588.0,4.0
2021.0,2.0,Neuquén,5645.0,112.0,648.0,2584.0,54808.0,5981.0,35534.0,15683.0,0.0,2753.0,0.0
2021.0,2.0,Río Negro,20009.0,125.0,1211.0,3466.0,65236.0,3880.0,22011.0,8705.0,3.0,756.0,0.0
2021.0,2.0,Salta,6328.0,101.0,1820.0,1727.0,39016.0,9669.0,42116.0,14670.0,0.0,2081.0,0.0
2021.0,2.0,San Juan,4641.0,18.0,1333.0,1634.0,57355.0,342.0,159.0,107.0,10.0,0.0,0.0
2021.0,2.0,San Luis,36917.0,60.0,439.0,667.0,10646.0,65948.0,3.0,1.0,1.0,0.0,15.0
2021.0,2.0,Santa Cruz,735.0,50.0,6656.0,2661.0,21278.0,1575.0,546.0,116.0,0.0,14.0,0.0
2021.0,2.0,Santa Fe,15371.0,467.0,13997.0,12057.0,176860.0,75346.0,175286.0,78528.0,790.0,7330.0,39.0
2021.0,2.0,Santiago Del Estero,1566.0,123.0,1511.0,3620.0,27812.0,811.0,3258.0,2610.0,0.0,194.0,2.0
2021.0,2.0,Tierra Del Fuego,1483.0,17.0,87.0,5.0,21243.0,476.0,858.0,29.0,1.0,0.0,1.0
2021.0,2.0,Tucumán,2680.0,32.0,2890.0,141.0,37290.0,5022.0,69805.0,37209.0,0.0,2598.0,4.0
2021.0,1.0,Buenos Aires,10867.0,36939.0,57057.0,24268.0,1058230.0,222095.0,1274830.0,845181.0,14090.0,104736.0,7442.0
2021.0,1.0,Capital Federal,126.0,135.0,5067.0,336.0,154503.0,83261.0,567648.0,349190.0,14136.0,68187.0,3874.0
2021.0,1.0,Catamarca,2196.0,71.0,612.0,278.0,6533.0,712.0,14899.0,7530.0,0.0,565.0,2.0
2021.0,1.0,Chaco,8384.0,301.0,2403.0,1150.0,20916.0,14496.0,29360.0,11152.0,0.0,1932.0,18.0
2021.0,1.0,Chubut,4390.0,106.0,934.0,4716.0,81445.0,2844.0,1002.0,109.0,1.0,0.0,0.0
2021.0,1.0,Córdoba,12677.0,93.0,16049.0,13966.0,184184.0,71992.0,307471.0,83213.0,79.0,11382.0,38.0
2021.0,1.0,Corrientes,5453.0,67.0,4395.0,1637.0,26039.0,9001.0,18572.0,7584.0,0.0,1484.0,1.0
2021.0,1.0,Entre Ríos,12826.0,105.0,6549.0,5124.0,58493.0,15774.0,39975.0,12841.0,1.0,1775.0,8.0
2021.0,1.0,Formosa,1942.0,56.0,656.0,1878.0,19875.0,1215.0,6733.0,2560.0,0.0,286.0,0.0
2021.0,1.0,Jujuy,2378.0,49.0,1395.0,2954.0,19561.0,568.0,19867.0,4785.0,0.0,204.0,753.0
2021.0,1.0,La Pampa,2424.0,298.0,2949.0,4764.0,61041.0,2786.0,6936.0,431.0,0.0,1.0,0.0
2021.0,1.0,La Rioja,0.0,18.0,670.0,1.0,36078.0,215.0,2456.0,2561.0,1.0,56.0,0.0
2021.0,1.0,Mendoza,44.0,28.0,1725.0,2756.0,129945.0,4071.0,12661.0,3537.0,14.0,368.0,25.0
2021.0,1.0,Misiones,8256.0,51.0,4882.0,8857.0,27734.0,14050.0,24111.0,7705.0,1.0,1132.0,4.0
2021.0,1.0,Neuquén,5758.0,116.0,526.0,2220.0,53752.0,5685.0,35562.0,12982.0,0.0,2288.0,0.0
2021.0,1.0,Río Negro,20103.0,125.0,1134.0,3367.0,65976.0,3647.0,22101.0,7048.0,2.0,433.0,0.0
2021.0,1.0,Salta,6319.0,109.0,2560.0,1341.0,36904.0,8139.0,41684.0,11616.0,0.0,1589.0,0.0
2021.0,1.0,San Juan,4641.0,25.0,1192.0,1937.0,57504.0,340.0,159.0,107.0,10.0,0.0,0.0
2021.0,1.0,San Luis,36917.0,58.0,439.0,667.0,10783.0,62915.0,3.0,1.0,1.0,0.0,15.0
